ticket_id,customer_id,created_date,category,priority,status,resolution_time_hours,satisfaction_score,ticket_text
TKT_00000065,CUST_000571,2024-01-02,account_access,high,resolved,8.0,3.0,Need to transfer account ownership to a new admin. What's the process for this?
TKT_00000066,CUST_000571,2024-09-30,integration_help,high,pending,,,API documentation is confusing. Can someone walk me through the setup process?
TKT_00000067,CUST_000571,2023-05-30,data_export,low,closed,27.0,4.0,Large data exports are timing out. Need a solution for exporting our complete dataset.
TKT_00000068,CUST_000773,2024-03-15,technical_issue,low,resolved,89.0,2.0,I can't export data - getting an error message every time I try. This is blocking our reporting.
TKT_00000069,CUST_000773,2023-01-03,training,urgent,closed,2.0,5.0,Onboarding process could be improved. New users are struggling to get started.
TKT_00000070,CUST_000773,2023-06-13,performance,low,closed,70.0,3.0,Page load times are unacceptable. Considering switching to a competitor.
TKT_00000071,CUST_000773,2022-10-26,data_export,high,resolved,10.0,4.0,Need help with bulk data migration. Moving to new system and need all historical data.
TKT_00000072,CUST_004017,2024-09-04,account_access,low,closed,80.0,2.0,My account seems to be locked after multiple login attempts. Please help unlock it.
TKT_00000073,CUST_004017,2024-07-13,performance,high,closed,14.0,3.0,Dashboard performance has degraded significantly over the past month.
TKT_00000074,CUST_004017,2024-08-03,performance,medium,resolved,38.0,3.0,System is very slow during peak hours. Reports take forever to load.
TKT_00000075,CUST_009494,2024-09-14,technical_issue,high,resolved,5.0,2.0,API calls are failing intermittently. Our integration is broken and customers are complaining.
TKT_00000076,CUST_009494,2024-09-14,technical_issue,high,resolved,6.0,2.0,The dashboard is loading very slowly and sometimes crashes. This is impacting our daily operations.
TKT_00000077,CUST_009494,2024-09-01,bug_report,medium,resolved,30.0,3.0,Filter functionality is broken on the analytics page. Please investigate.
TKT_00000078,CUST_005231,2024-08-04,data_export,medium,closed,36.0,3.0,Scheduled exports stopped working last week. Our automated reports are broken.
TKT_00000079,CUST_005231,2024-08-23,billing,high,resolved,14.0,3.0,Can you help me understand the billing changes? The new pricing seems much higher than expected.
TKT_00000080,CUST_004243,2024-01-06,billing,medium,resolved,34.0,2.0,I was charged twice this month and need a refund. This is very frustrating as it affects our budget.
TKT_00000081,CUST_004243,2023-06-08,bug_report,medium,resolved,22.0,4.0,Data synchronization issue - seeing stale data that should have updated hours ago.
TKT_00000082,CUST_005765,2024-06-12,feature_request,low,resolved,80.0,1.0,Can you add more export formats? We need Excel compatibility for our stakeholders.
TKT_00000083,CUST_005765,2024-08-23,integration_help,high,resolved,14.0,3.0,Webhook setup is failing. Getting authentication errors that I can't resolve.
TKT_00000084,CUST_005765,2024-02-27,performance,low,closed,57.0,4.0,System is very slow during peak hours. Reports take forever to load.
TKT_00000085,CUST_005765,2024-08-09,feature_request,medium,resolved,21.0,4.0,Real-time notifications would be amazing for our workflow. Currently we miss important updates.
TKT_00000086,CUST_005765,2024-02-14,integration_help,low,closed,82.0,2.0,Having trouble connecting to Salesforce. The integration guide isn't clear enough.
TKT_00000087,CUST_004061,2024-08-16,technical_issue,high,resolved,4.0,2.0,API calls are failing intermittently. Our integration is broken and customers are complaining.
TKT_00000088,CUST_004061,2024-09-20,technical_issue,low,closed,94.0,2.0,API calls are failing intermittently. Our integration is broken and customers are complaining.
TKT_00000089,CUST_004061,2024-07-25,integration_help,medium,closed,34.0,4.0,Need help with custom integration. Our development team is stuck on the implementation.
TKT_00000090,CUST_004061,2024-09-20,bug_report,low,closed,27.0,3.0,Filter functionality is broken on the analytics page. Please investigate.
TKT_00000091,CUST_004061,2024-07-02,technical_issue,low,resolved,38.0,3.0,API calls are failing intermittently. Our integration is broken and customers are complaining.
TKT_00000092,CUST_004061,2024-09-27,performance,low,resolved,56.0,4.0,Dashboard performance has degraded significantly over the past month.
TKT_00000093,CUST_002060,2024-07-21,data_export,high,resolved,5.0,4.0,Need help with bulk data migration. Moving to new system and need all historical data.
TKT_00000094,CUST_002060,2024-07-19,technical_issue,low,resolved,81.0,2.0,The mobile app keeps crashing when I try to view reports. Very disappointing experience.
TKT_00000095,CUST_002060,2024-08-25,performance,high,resolved,15.0,2.0,Dashboard performance has degraded significantly over the past month.
TKT_00000096,CUST_000440,2024-07-28,integration_help,medium,resolved,15.0,3.0,Webhook setup is failing. Getting authentication errors that I can't resolve.
TKT_00000097,CUST_000440,2024-06-22,training,high,resolved,12.0,4.0,New team members need training on advanced features. Do you offer sessions?
TKT_00000098,CUST_000440,2024-09-18,technical_issue,low,resolved,44.0,2.0,The dashboard is loading very slowly and sometimes crashes. This is impacting our daily operations.
TKT_00000099,CUST_000440,2024-06-16,training,high,resolved,12.0,2.0,Onboarding process could be improved. New users are struggling to get started.
TKT_00000100,CUST_007074,2023-08-05,data_export,high,resolved,9.0,4.0,Export format is missing some columns we need. Can this be customized?
TKT_00000101,CUST_007074,2024-03-21,feature_request,high,resolved,7.0,3.0,Would love to see dark mode added to the interface. Many of our team members have requested this.
TKT_00000102,CUST_007074,2023-09-07,technical_issue,medium,pending,,,I can't export data - getting an error message every time I try. This is blocking our reporting.
TKT_00000103,CUST_007074,2023-09-15,training,urgent,resolved,2.0,5.0,Can you provide training materials for our specific use case?
TKT_00000104,CUST_003534,2024-03-03,technical_issue,high,resolved,11.0,4.0,API calls are failing intermittently. Our integration is broken and customers are complaining.
TKT_00000105,CUST_007415,2023-04-21,performance,high,resolved,4.0,4.0,Query timeouts are happening frequently. This is impacting our productivity.
TKT_00000106,CUST_001777,2023-07-10,feature_request,medium,closed,41.0,4.0,Better mobile experience would help our field team access data on the go.
TKT_00000107,CUST_001777,2024-06-27,technical_issue,high,resolved,15.0,4.0,The dashboard is loading very slowly and sometimes crashes. This is impacting our daily operations.
TKT_00000108,CUST_009547,2024-09-09,bug_report,low,pending,,,Getting JavaScript errors in the browser console. Interface is unstable.
TKT_00000109,CUST_009547,2023-04-15,data_export,low,closed,77.0,3.0,Scheduled exports stopped working last week. Our automated reports are broken.
TKT_00000110,CUST_009547,2024-06-24,billing,high,resolved,7.0,4.0,I need to downgrade my plan but can't find the option. The current cost is too high for our small team.
TKT_00000111,CUST_009547,2023-08-03,bug_report,low,resolved,55.0,4.0,Getting JavaScript errors in the browser console. Interface is unstable.
TKT_00000112,CUST_009315,2024-01-18,training,high,resolved,12.0,4.0,New team members need training on advanced features. Do you offer sessions?
TKT_00000113,CUST_000812,2024-08-09,feature_request,high,resolved,13.0,3.0,Would love to see dark mode added to the interface. Many of our team members have requested this.
TKT_00000114,CUST_000812,2024-02-24,bug_report,low,resolved,32.0,2.0,Getting JavaScript errors in the browser console. Interface is unstable.
TKT_00000115,CUST_000812,2024-06-22,technical_issue,low,resolved,54.0,4.0,The mobile app keeps crashing when I try to view reports. Very disappointing experience.
TKT_00000116,CUST_000812,2024-06-14,bug_report,low,closed,26.0,3.0,Filter functionality is broken on the analytics page. Please investigate.
TKT_00000117,CUST_004835,2024-03-18,feature_request,low,resolved,79.0,2.0,Better mobile experience would help our field team access data on the go.
TKT_00000118,CUST_004835,2023-08-23,billing,low,closed,50.0,4.0,I need to downgrade my plan but can't find the option. The current cost is too high for our small team.
TKT_00000119,CUST_006357,2024-05-25,integration_help,high,resolved,11.0,4.0,Having trouble connecting to Salesforce. The integration guide isn't clear enough.
TKT_00000120,CUST_006357,2024-10-01,integration_help,medium,resolved,28.0,4.0,Webhook setup is failing. Getting authentication errors that I can't resolve.
TKT_00000121,CUST_007368,2023-12-07,data_export,medium,resolved,41.0,4.0,Scheduled exports stopped working last week. Our automated reports are broken.
TKT_00000122,CUST_007368,2024-10-01,billing,medium,resolved,44.0,3.0,I was charged twice this month and need a refund. This is very frustrating as it affects our budget.
TKT_00000123,CUST_007368,2023-07-12,training,medium,resolved,27.0,4.0,Can you provide training materials for our specific use case?
TKT_00000124,CUST_007368,2023-03-18,feature_request,low,closed,57.0,4.0,Can you add more export formats? We need Excel compatibility for our stakeholders.
TKT_00000125,CUST_007368,2023-12-20,technical_issue,high,closed,7.0,4.0,API calls are failing intermittently. Our integration is broken and customers are complaining.
TKT_00000126,CUST_007368,2023-02-05,performance,low,resolved,89.0,2.0,System is very slow during peak hours. Reports take forever to load.
TKT_00000127,CUST_000210,2024-09-16,training,low,resolved,54.0,3.0,Can you provide training materials for our specific use case?
TKT_00000128,CUST_000210,2024-07-24,technical_issue,high,resolved,15.0,2.0,I can't export data - getting an error message every time I try. This is blocking our reporting.
TKT_00000129,CUST_000210,2024-07-26,bug_report,medium,closed,36.0,4.0,Found a bug in the reporting module. Charts are showing incorrect data.
TKT_00000130,CUST_000210,2024-08-09,data_export,medium,resolved,40.0,2.0,Large data exports are timing out. Need a solution for exporting our complete dataset.
TKT_00000131,CUST_000210,2024-09-07,technical_issue,low,closed,71.0,4.0,The mobile app keeps crashing when I try to view reports. Very disappointing experience.
TKT_00000132,CUST_000210,2024-08-16,technical_issue,low,resolved,67.0,4.0,API calls are failing intermittently. Our integration is broken and customers are complaining.
TKT_00000133,CUST_003589,2023-07-05,billing,medium,resolved,40.0,2.0,I need to downgrade my plan but can't find the option. The current cost is too high for our small team.
TKT_00000134,CUST_003589,2023-08-12,technical_issue,medium,resolved,27.0,3.0,The dashboard is loading very slowly and sometimes crashes. This is impacting our daily operations.
TKT_00000135,CUST_001288,2024-04-04,training,medium,resolved,32.0,3.0,Looking for best practices documentation. Want to optimize our usage.
TKT_00000136,CUST_001288,2022-10-20,data_export,medium,resolved,33.0,2.0,Need help with bulk data migration. Moving to new system and need all historical data.
TKT_00000137,CUST_001288,2022-09-16,account_access,medium,resolved,17.0,3.0,My account seems to be locked after multiple login attempts. Please help unlock it.
TKT_00000138,CUST_001288,2023-09-09,data_export,medium,resolved,14.0,4.0,Scheduled exports stopped working last week. Our automated reports are broken.
TKT_00000139,CUST_001288,2024-08-07,training,low,resolved,55.0,3.0,Onboarding process could be improved. New users are struggling to get started.
TKT_00000140,CUST_005838,2024-08-07,data_export,low,closed,83.0,3.0,Scheduled exports stopped working last week. Our automated reports are broken.
TKT_00000141,CUST_005838,2024-02-05,bug_report,medium,resolved,22.0,3.0,Getting JavaScript errors in the browser console. Interface is unstable.
TKT_00000142,CUST_006281,2024-05-28,bug_report,low,resolved,66.0,4.0,Filter functionality is broken on the analytics page. Please investigate.
TKT_00000143,CUST_004783,2023-10-30,feature_request,low,closed,93.0,2.0,Would love to see dark mode added to the interface. Many of our team members have requested this.
TKT_00000144,CUST_004783,2024-03-11,feature_request,low,closed,94.0,2.0,Better mobile experience would help our field team access data on the go.
TKT_00000145,CUST_004783,2023-06-16,billing,medium,closed,45.0,4.0,I need to downgrade my plan but can't find the option. The current cost is too high for our small team.
TKT_00000146,CUST_004783,2024-03-04,account_access,low,resolved,94.0,1.0,Can you help me add new team members to our account? The process isn't clear.
TKT_00000147,CUST_006839,2023-12-01,performance,low,resolved,72.0,2.0,Query timeouts are happening frequently. This is impacting our productivity.
TKT_00000148,CUST_006839,2023-09-12,feature_request,medium,pending,,,Real-time notifications would be amazing for our workflow. Currently we miss important updates.
TKT_00000149,CUST_006839,2022-11-07,bug_report,medium,resolved,13.0,4.0,Data synchronization issue - seeing stale data that should have updated hours ago.
TKT_00000150,CUST_006839,2023-07-14,data_export,medium,resolved,38.0,4.0,Export format is missing some columns we need. Can this be customized?
TKT_00000151,CUST_001070,2023-08-28,technical_issue,medium,resolved,16.0,3.0,The dashboard is loading very slowly and sometimes crashes. This is impacting our daily operations.
TKT_00000152,CUST_001070,2024-08-31,billing,medium,resolved,18.0,3.0,My payment failed but I'm not sure why. Can you help me resolve this quickly?
TKT_00000153,CUST_005246,2024-05-20,bug_report,low,resolved,29.0,3.0,Found a bug in the reporting module. Charts are showing incorrect data.
TKT_00000154,CUST_001869,2024-05-31,account_access,high,pending,,,My account seems to be locked after multiple login attempts. Please help unlock it.
TKT_00000155,CUST_001869,2023-11-27,feature_request,medium,resolved,36.0,3.0,Real-time notifications would be amazing for our workflow. Currently we miss important updates.
TKT_00000156,CUST_001869,2024-05-13,integration_help,high,resolved,15.0,2.0,Need help with custom integration. Our development team is stuck on the implementation.
TKT_00000157,CUST_001869,2023-10-29,technical_issue,high,closed,5.0,4.0,The mobile app keeps crashing when I try to view reports. Very disappointing experience.
TKT_00000158,CUST_001869,2024-05-17,account_access,low,pending,,,I forgot my password and the reset email isn't coming through. Need access urgently.
TKT_00000159,CUST_006782,2023-09-13,bug_report,low,resolved,45.0,2.0,Found a bug in the reporting module. Charts are showing incorrect data.
TKT_00000160,CUST_006782,2023-01-26,training,medium,resolved,44.0,3.0,Looking for best practices documentation. Want to optimize our usage.
TKT_00000161,CUST_006782,2023-11-29,data_export,low,resolved,59.0,4.0,Scheduled exports stopped working last week. Our automated reports are broken.
TKT_00000162,CUST_006782,2024-01-17,account_access,medium,resolved,15.0,2.0,My account seems to be locked after multiple login attempts. Please help unlock it.
TKT_00000163,CUST_006782,2023-09-30,integration_help,low,pending,,,Having trouble connecting to Salesforce. The integration guide isn't clear enough.
TKT_00000164,CUST_004461,2023-10-21,billing,high,closed,6.0,3.0,I need to downgrade my plan but can't find the option. The current cost is too high for our small team.
TKT_00000165,CUST_004461,2023-08-29,feature_request,medium,resolved,45.0,3.0,Better mobile experience would help our field team access data on the go.
TKT_00000166,CUST_004461,2023-05-27,billing,low,resolved,65.0,4.0,I was charged twice this month and need a refund. This is very frustrating as it affects our budget.
TKT_00000167,CUST_001000,2024-06-19,account_access,low,resolved,47.0,4.0,My account seems to be locked after multiple login attempts. Please help unlock it.
TKT_00000168,CUST_001000,2024-08-30,training,low,resolved,61.0,4.0,Onboarding process could be improved. New users are struggling to get started.
TKT_00000169,CUST_001000,2024-08-09,integration_help,high,resolved,12.0,4.0,Need help with custom integration. Our development team is stuck on the implementation.
TKT_00000170,CUST_001000,2024-07-10,data_export,medium,resolved,36.0,2.0,Scheduled exports stopped working last week. Our automated reports are broken.
TKT_00000171,CUST_001003,2024-08-05,data_export,medium,resolved,44.0,4.0,Large data exports are timing out. Need a solution for exporting our complete dataset.
TKT_00000172,CUST_001003,2024-09-13,integration_help,low,resolved,92.0,3.0,Webhook setup is failing. Getting authentication errors that I can't resolve.
TKT_00000173,CUST_005851,2024-08-13,integration_help,low,resolved,77.0,2.0,API documentation is confusing. Can someone walk me through the setup process?
TKT_00000174,CUST_005851,2024-08-07,technical_issue,medium,closed,21.0,2.0,API calls are failing intermittently. Our integration is broken and customers are complaining.
TKT_00000175,CUST_005851,2024-09-05,integration_help,low,resolved,65.0,3.0,API documentation is confusing. Can someone walk me through the setup process?
TKT_00000176,CUST_005851,2024-09-14,training,high,resolved,7.0,4.0,Onboarding process could be improved. New users are struggling to get started.
TKT_00000177,CUST_005851,2024-08-02,training,medium,closed,22.0,4.0,Looking for best practices documentation. Want to optimize our usage.
TKT_00000178,CUST_005851,2024-09-05,account_access,medium,resolved,19.0,3.0,My account seems to be locked after multiple login attempts. Please help unlock it.
TKT_00000179,CUST_005851,2024-09-26,feature_request,low,resolved,85.0,2.0,Can you add more export formats? We need Excel compatibility for our stakeholders.
TKT_00000180,CUST_002685,2023-11-11,feature_request,medium,resolved,16.0,4.0,Real-time notifications would be amazing for our workflow. Currently we miss important updates.
TKT_00000181,CUST_002685,2024-03-29,feature_request,medium,resolved,13.0,3.0,Can you add more export formats? We need Excel compatibility for our stakeholders.
TKT_00000182,CUST_002685,2023-05-03,training,low,closed,93.0,1.0,Looking for best practices documentation. Want to optimize our usage.
TKT_00000183,CUST_002685,2024-01-23,data_export,medium,resolved,28.0,4.0,Scheduled exports stopped working last week. Our automated reports are broken.
TKT_00000184,CUST_002685,2023-03-03,performance,medium,closed,39.0,4.0,System is very slow during peak hours. Reports take forever to load.
TKT_00000185,CUST_002685,2024-07-26,account_access,medium,resolved,38.0,4.0,Need to transfer account ownership to a new admin. What's the process for this?
TKT_00000186,CUST_007145,2024-05-09,training,urgent,resolved,1.0,4.0,New team members need training on advanced features. Do you offer sessions?
TKT_00000187,CUST_004829,2024-04-22,training,low,closed,93.0,1.0,Looking for best practices documentation. Want to optimize our usage.
TKT_00000188,CUST_004829,2024-06-25,integration_help,high,closed,8.0,2.0,API documentation is confusing. Can someone walk me through the setup process?
TKT_00000189,CUST_004829,2024-05-23,data_export,high,closed,14.0,4.0,Large data exports are timing out. Need a solution for exporting our complete dataset.
TKT_00000190,CUST_004829,2024-06-06,training,medium,closed,24.0,3.0,New team members need training on advanced features. Do you offer sessions?
TKT_00000191,CUST_004829,2024-05-11,account_access,medium,resolved,33.0,2.0,I forgot my password and the reset email isn't coming through. Need access urgently.
TKT_00000192,CUST_006167,2024-03-27,bug_report,low,resolved,62.0,2.0,Filter functionality is broken on the analytics page. Please investigate.
TKT_00000193,CUST_006167,2023-07-27,data_export,low,resolved,64.0,2.0,Scheduled exports stopped working last week. Our automated reports are broken.
TKT_00000194,CUST_006167,2024-02-27,data_export,low,closed,54.0,4.0,Scheduled exports stopped working last week. Our automated reports are broken.
TKT_00000195,CUST_006167,2024-08-03,bug_report,low,resolved,31.0,2.0,Getting JavaScript errors in the browser console. Interface is unstable.
TKT_00000196,CUST_004259,2024-04-12,data_export,medium,closed,12.0,3.0,Export format is missing some columns we need. Can this be customized?
TKT_00000197,CUST_004259,2024-04-10,account_access,low,resolved,66.0,3.0,Can you help me add new team members to our account? The process isn't clear.
TKT_00000198,CUST_004259,2024-07-20,feature_request,low,resolved,64.0,4.0,Real-time notifications would be amazing for our workflow. Currently we miss important updates.
TKT_00000199,CUST_004259,2024-07-30,bug_report,medium,resolved,21.0,3.0,Filter functionality is broken on the analytics page. Please investigate.
TKT_00000200,CUST_004607,2024-06-09,integration_help,medium,resolved,33.0,3.0,Having trouble connecting to Salesforce. The integration guide isn't clear enough.
TKT_00000201,CUST_004607,2023-05-25,data_export,low,resolved,27.0,4.0,Need help with bulk data migration. Moving to new system and need all historical data.
TKT_00000202,CUST_004607,2023-10-12,feature_request,medium,resolved,45.0,4.0,Can you add more export formats? We need Excel compatibility for our stakeholders.
TKT_00000203,CUST_004607,2023-11-22,data_export,low,closed,90.0,2.0,Export format is missing some columns we need. Can this be customized?
TKT_00000204,CUST_004922,2023-07-19,billing,medium,resolved,25.0,3.0,I need to downgrade my plan but can't find the option. The current cost is too high for our small team.
TKT_00000205,CUST_004922,2024-04-18,account_access,low,resolved,65.0,3.0,Can you help me add new team members to our account? The process isn't clear.
TKT_00000206,CUST_003416,2024-09-18,bug_report,medium,resolved,23.0,4.0,Getting JavaScript errors in the browser console. Interface is unstable.
TKT_00000207,CUST_003416,2024-09-21,technical_issue,high,resolved,6.0,4.0,The dashboard is loading very slowly and sometimes crashes. This is impacting our daily operations.
TKT_00000208,CUST_003416,2024-09-16,bug_report,low,closed,75.0,2.0,Filter functionality is broken on the analytics page. Please investigate.
TKT_00000209,CUST_000067,2023-07-29,integration_help,urgent,resolved,3.0,5.0,Webhook setup is failing. Getting authentication errors that I can't resolve.
TKT_00000210,CUST_000067,2023-06-17,training,high,resolved,10.0,3.0,Onboarding process could be improved. New users are struggling to get started.
TKT_00000211,CUST_000067,2024-03-11,account_access,medium,closed,24.0,4.0,My account seems to be locked after multiple login attempts. Please help unlock it.
TKT_00000212,CUST_000067,2024-07-25,integration_help,high,pending,,,Need help with custom integration. Our development team is stuck on the implementation.
TKT_00000213,CUST_000067,2023-12-28,billing,high,resolved,13.0,4.0,Can you help me understand the billing changes? The new pricing seems much higher than expected.
