churn_id,customer_id,churn_date,churn_reason,days_since_signup,final_plan_type,final_monthly_revenue
CHN_00000043,CUST_006510,2024-05-23,missing_features,92,enterprise,299.47
CHN_00000044,CUST_002390,2024-03-15,business_closure,661,starter,25.44
CHN_00000045,CUST_003529,2024-04-03,competitor_switch,102,professional,328.59
CHN_00000046,CUST_001090,2024-06-30,integration_problems,97,professional,190.86
CHN_00000047,CUST_001848,2024-03-21,missing_features,155,starter,28.09
CHN_00000048,CUST_002093,2024-04-29,poor_support,782,professional,115.91
CHN_00000049,CUST_005424,2024-05-21,technical_issues,863,enterprise,558.63
CHN_00000050,CUST_006451,2024-04-17,poor_performance,154,professional,391.26
CHN_00000051,CUST_002133,2023-09-23,poor_support,143,professional,191.85
CHN_00000052,CUST_005184,2023-09-04,missing_features,587,professional,334.97
CHN_00000053,CUST_008424,2023-04-21,pricing_too_high,386,enterprise,1256.43
CHN_00000054,CUST_006203,2023-04-10,pricing_too_high,224,starter,189.81
CHN_00000055,CUST_005586,2024-06-14,poor_support,490,enterprise,1115.84
CHN_00000056,CUST_005670,2024-04-17,poor_performance,77,professional,364.93
CHN_00000057,CUST_003610,2024-05-02,pricing_too_high,35,premium,2181.79
CHN_00000058,CUST_004034,2024-02-29,competitor_switch,433,starter,30.76
CHN_00000059,CUST_006276,2024-01-01,missing_features,464,starter,25.68
CHN_00000060,CUST_004188,2023-07-05,business_closure,237,professional,193.45
CHN_00000061,CUST_007895,2024-02-12,pricing_too_high,111,enterprise,279.82
CHN_00000062,CUST_003260,2023-01-23,pricing_too_high,287,professional,662.0
CHN_00000063,CUST_007821,2024-06-22,missing_features,109,starter,32.85
CHN_00000064,CUST_006536,2023-07-30,competitor_switch,306,professional,117.62
CHN_00000065,CUST_007749,2024-01-13,technical_issues,732,starter,26.7
CHN_00000066,CUST_003048,2024-04-18,competitor_switch,338,professional,84.04
CHN_00000067,CUST_009022,2024-01-24,ease_of_use,468,starter,34.46
CHN_00000068,CUST_003519,2023-12-21,poor_performance,315,starter,29.44
CHN_00000069,CUST_002143,2023-09-02,competitor_switch,318,professional,211.81
CHN_00000070,CUST_004207,2024-04-27,business_closure,308,starter,31.25
CHN_00000071,CUST_007261,2023-04-01,poor_support,364,premium,1208.67
CHN_00000072,CUST_002254,2023-08-01,integration_problems,122,starter,45.24
CHN_00000073,CUST_000200,2023-10-20,competitor_switch,575,enterprise,515.34
CHN_00000074,CUST_009943,2024-04-17,missing_features,805,professional,165.57
CHN_00000075,CUST_005259,2024-04-12,technical_issues,39,professional,208.06
CHN_00000076,CUST_005105,2023-11-04,poor_performance,177,professional,86.63
CHN_00000077,CUST_006454,2024-03-06,pricing_too_high,217,enterprise,648.73
CHN_00000078,CUST_007150,2024-05-07,competitor_switch,247,enterprise,514.44
CHN_00000079,CUST_006732,2023-12-04,poor_performance,201,professional,87.28
CHN_00000080,CUST_009071,2023-07-07,missing_features,160,starter,25.05
CHN_00000081,CUST_008685,2024-04-14,integration_problems,383,starter,50.24
CHN_00000082,CUST_001402,2023-05-01,missing_features,220,premium,2307.45
CHN_00000083,CUST_006721,2024-01-13,poor_support,215,professional,115.6
CHN_00000084,CUST_002052,2023-02-21,poor_performance,213,starter,58.15
CHN_00000085,CUST_004733,2024-03-03,missing_features,345,premium,2614.08
CHN_00000086,CUST_001999,2024-02-18,poor_performance,72,starter,32.71
CHN_00000087,CUST_004376,2023-12-22,competitor_switch,705,starter,54.87
CHN_00000088,CUST_006290,2024-05-19,poor_performance,319,starter,26.21
CHN_00000089,CUST_001256,2023-12-26,poor_support,696,professional,116.72
CHN_00000090,CUST_000370,2023-06-23,business_closure,214,starter,33.32
CHN_00000091,CUST_005772,2024-05-04,competitor_switch,635,professional,346.72
CHN_00000092,CUST_005305,2024-06-03,pricing_too_high,165,enterprise,604.19
CHN_00000093,CUST_008700,2023-04-19,pricing_too_high,413,premium,678.17
CHN_00000094,CUST_009111,2023-11-16,competitor_switch,658,professional,108.89
CHN_00000095,CUST_005552,2024-02-20,technical_issues,156,professional,223.94
CHN_00000096,CUST_000232,2024-01-12,competitor_switch,120,professional,221.11
CHN_00000097,CUST_008086,2024-06-29,competitor_switch,31,professional,83.22
CHN_00000098,CUST_009007,2024-03-20,ease_of_use,136,enterprise,1062.29
CHN_00000099,CUST_000885,2023-10-14,poor_performance,457,starter,31.86
CHN_00000100,CUST_002109,2024-04-06,missing_features,352,starter,24.25
CHN_00000101,CUST_005944,2024-02-12,competitor_switch,392,starter,28.4
CHN_00000102,CUST_005483,2024-04-09,missing_features,66,starter,86.55
CHN_00000103,CUST_005241,2024-06-17,integration_problems,42,professional,97.43
CHN_00000104,CUST_007381,2023-11-04,competitor_switch,203,enterprise,661.0
CHN_00000105,CUST_006794,2024-01-21,pricing_too_high,353,starter,111.46
CHN_00000106,CUST_002995,2024-02-06,poor_performance,707,enterprise,712.25
CHN_00000107,CUST_008151,2023-11-27,competitor_switch,244,professional,97.53
CHN_00000108,CUST_003549,2023-12-28,competitor_switch,137,starter,106.06
CHN_00000109,CUST_007621,2024-06-13,integration_problems,32,enterprise,2804.95
CHN_00000110,CUST_002734,2023-09-16,competitor_switch,250,enterprise,514.6
CHN_00000111,CUST_004695,2024-07-01,business_closure,58,starter,27.67
CHN_00000112,CUST_002874,2023-10-03,poor_performance,351,premium,1341.99
CHN_00000113,CUST_005369,2024-02-16,pricing_too_high,325,professional,226.34
CHN_00000114,CUST_004925,2024-05-27,competitor_switch,143,professional,173.32
CHN_00000115,CUST_001879,2024-06-07,technical_issues,54,starter,27.19
CHN_00000116,CUST_003972,2024-06-05,competitor_switch,780,starter,108.9
CHN_00000117,CUST_004315,2023-11-03,competitor_switch,181,professional,89.91
CHN_00000118,CUST_004265,2024-06-08,competitor_switch,533,professional,208.35
CHN_00000119,CUST_002912,2024-04-22,competitor_switch,153,enterprise,583.14
CHN_00000120,CUST_009649,2024-03-09,pricing_too_high,58,starter,28.77
CHN_00000121,CUST_005741,2024-03-26,poor_support,318,professional,159.65
CHN_00000122,CUST_009896,2023-02-15,competitor_switch,331,starter,27.06
CHN_00000123,CUST_005320,2024-03-22,missing_features,451,starter,40.23
CHN_00000124,CUST_001659,2023-07-24,competitor_switch,201,starter,31.08
CHN_00000125,CUST_000491,2024-06-28,poor_performance,838,professional,108.54
CHN_00000126,CUST_004122,2023-08-12,competitor_switch,125,starter,26.28
CHN_00000127,CUST_001721,2024-06-12,business_closure,47,starter,30.22
CHN_00000128,CUST_006662,2023-08-26,poor_performance,480,professional,224.82
CHN_00000129,CUST_003403,2024-05-07,poor_support,57,professional,82.37
CHN_00000130,CUST_008945,2024-03-13,competitor_switch,47,enterprise,607.12
CHN_00000131,CUST_002600,2024-03-06,technical_issues,202,starter,32.75
CHN_00000132,CUST_003616,2023-11-21,technical_issues,332,starter,33.24
CHN_00000133,CUST_005907,2023-12-11,competitor_switch,424,starter,26.05
CHN_00000134,CUST_001995,2023-04-18,poor_performance,165,professional,101.79
CHN_00000135,CUST_005437,2023-12-30,poor_support,441,starter,58.33
CHN_00000136,CUST_003579,2023-05-30,missing_features,383,professional,175.62
CHN_00000137,CUST_004475,2024-01-29,competitor_switch,493,starter,31.94
CHN_00000138,CUST_004298,2023-10-31,pricing_too_high,411,professional,215.18
CHN_00000139,CUST_008763,2024-05-10,business_closure,101,starter,33.67
CHN_00000140,CUST_005179,2023-12-10,missing_features,305,professional,186.85
CHN_00000141,CUST_002750,2023-09-14,missing_features,316,professional,230.89
CHN_00000142,CUST_007538,2024-06-12,integration_problems,35,professional,465.56
CHN_00000143,CUST_003824,2023-08-19,competitor_switch,355,starter,39.26
CHN_00000144,CUST_004254,2024-07-01,business_closure,31,starter,25.65
CHN_00000145,CUST_003153,2024-02-03,business_closure,333,starter,28.41
CHN_00000146,CUST_000095,2024-03-26,pricing_too_high,317,starter,42.92
CHN_00000147,CUST_006829,2024-03-24,poor_support,114,starter,30.45
CHN_00000148,CUST_001258,2023-12-10,missing_features,516,premium,1219.2
CHN_00000149,CUST_000898,2024-01-10,poor_support,312,starter,24.97
CHN_00000150,CUST_004583,2022-10-24,competitor_switch,259,premium,5161.8
CHN_00000151,CUST_001283,2023-03-05,missing_features,185,starter,34.6
CHN_00000152,CUST_001718,2023-10-06,missing_features,573,professional,189.31
CHN_00000153,CUST_000134,2024-06-25,poor_support,591,enterprise,694.6
CHN_00000154,CUST_002668,2023-09-16,competitor_switch,367,premium,4793.77
CHN_00000155,CUST_007392,2023-01-15,business_closure,308,professional,436.86
CHN_00000156,CUST_006724,2024-06-23,poor_performance,71,starter,31.41
CHN_00000157,CUST_002822,2023-09-17,poor_support,163,starter,27.49
CHN_00000158,CUST_000014,2023-12-25,missing_features,624,starter,33.03
CHN_00000159,CUST_000892,2023-11-05,competitor_switch,196,professional,110.99
CHN_00000160,CUST_000249,2023-12-04,pricing_too_high,226,starter,55.38
CHN_00000161,CUST_004778,2023-12-17,missing_features,457,enterprise,560.06
CHN_00000162,CUST_004181,2024-01-30,business_closure,58,starter,97.67
CHN_00000163,CUST_001255,2024-06-17,missing_features,184,enterprise,1397.54
CHN_00000164,CUST_000816,2024-06-20,ease_of_use,339,professional,219.49
CHN_00000165,CUST_008133,2024-03-26,business_closure,786,professional,83.64
CHN_00000166,CUST_006325,2024-01-18,technical_issues,594,premium,1140.36
CHN_00000167,CUST_009330,2024-04-15,missing_features,300,premium,1429.66
CHN_00000168,CUST_004239,2024-02-20,pricing_too_high,149,professional,96.32
CHN_00000169,CUST_007681,2024-06-20,competitor_switch,41,starter,116.45
CHN_00000170,CUST_002698,2024-05-11,missing_features,440,professional,163.69
CHN_00000171,CUST_001622,2023-12-28,competitor_switch,265,professional,193.67
CHN_00000172,CUST_000604,2024-06-16,business_closure,784,professional,178.12
CHN_00000173,CUST_001596,2024-06-20,poor_support,544,enterprise,344.85
CHN_00000174,CUST_002511,2024-05-16,pricing_too_high,584,professional,214.69
CHN_00000175,CUST_003297,2023-02-06,poor_support,330,professional,81.48
CHN_00000176,CUST_001793,2024-06-11,competitor_switch,52,starter,24.08
CHN_00000177,CUST_004833,2024-06-21,competitor_switch,32,professional,83.04
CHN_00000178,CUST_007348,2023-09-19,missing_features,152,starter,29.59
CHN_00000179,CUST_005123,2024-01-05,competitor_switch,531,enterprise,302.06
CHN_00000180,CUST_008097,2024-06-26,poor_support,34,enterprise,1012.98
CHN_00000181,CUST_008747,2024-05-28,poor_support,276,starter,90.2
CHN_00000182,CUST_004849,2023-10-12,missing_features,229,professional,104.4
CHN_00000183,CUST_008986,2024-01-15,business_closure,225,professional,117.45
CHN_00000184,CUST_008019,2022-09-24,poor_performance,234,professional,94.98
CHN_00000185,CUST_008583,2024-05-13,technical_issues,50,premium,2140.95
CHN_00000186,CUST_002100,2024-01-24,competitor_switch,97,professional,99.82
CHN_00000187,CUST_000239,2023-11-25,poor_support,79,starter,32.44
CHN_00000188,CUST_002215,2024-05-26,competitor_switch,303,professional,83.25
CHN_00000189,CUST_000185,2024-04-28,poor_performance,624,starter,32.53
CHN_00000190,CUST_007079,2024-02-17,competitor_switch,476,enterprise,1421.19
CHN_00000191,CUST_001467,2024-05-23,missing_features,669,starter,32.85
CHN_00000192,CUST_007157,2023-11-16,missing_features,362,professional,205.27
CHN_00000193,CUST_005613,2024-06-17,poor_performance,50,starter,27.81
CHN_00000194,CUST_006308,2023-04-15,poor_support,411,enterprise,971.59
CHN_00000195,CUST_000930,2024-02-04,pricing_too_high,707,enterprise,1296.28
CHN_00000196,CUST_009609,2023-09-06,ease_of_use,313,professional,417.64
CHN_00000197,CUST_009455,2024-05-01,poor_performance,458,starter,42.76
CHN_00000198,CUST_004664,2024-06-26,integration_problems,34,starter,52.04
CHN_00000199,CUST_001829,2024-06-11,integration_problems,136,starter,28.69
CHN_00000200,CUST_005008,2024-06-02,missing_features,436,starter,58.01
CHN_00000201,CUST_009999,2023-08-16,integration_problems,138,starter,32.28
CHN_00000202,CUST_006084,2024-04-02,technical_issues,160,enterprise,1413.18
CHN_00000203,CUST_003301,2024-02-13,pricing_too_high,284,professional,190.16
CHN_00000204,CUST_001736,2024-05-26,ease_of_use,68,professional,102.09
CHN_00000205,CUST_000783,2023-07-21,pricing_too_high,362,professional,370.46
CHN_00000206,CUST_006974,2023-10-20,poor_performance,393,starter,32.37
CHN_00000207,CUST_001058,2024-06-30,competitor_switch,120,starter,49.97
CHN_00000208,CUST_008153,2024-06-05,pricing_too_high,208,professional,224.47
CHN_00000209,CUST_003528,2024-06-28,poor_performance,61,starter,28.94
CHN_00000210,CUST_007066,2024-06-18,integration_problems,870,starter,28.43
CHN_00000211,CUST_009815,2024-06-01,integration_problems,878,professional,236.46
CHN_00000212,CUST_008036,2024-01-23,poor_support,340,starter,30.07
CHN_00000213,CUST_000623,2024-06-11,competitor_switch,234,professional,225.3
CHN_00000214,CUST_001163,2023-01-26,ease_of_use,334,premium,2743.84
CHN_00000215,CUST_005922,2023-05-08,pricing_too_high,186,enterprise,970.65
CHN_00000216,CUST_006843,2024-05-10,ease_of_use,298,starter,49.78
CHN_00000217,CUST_004610,2023-10-17,missing_features,104,starter,92.31
CHN_00000218,CUST_005221,2023-03-24,technical_issues,216,enterprise,634.44
CHN_00000219,CUST_000609,2024-05-10,business_closure,125,professional,90.73
CHN_00000220,CUST_006079,2024-04-20,integration_problems,275,starter,32.24
CHN_00000221,CUST_001704,2023-02-21,technical_issues,286,premium,2487.62
CHN_00000222,CUST_002936,2024-01-30,ease_of_use,149,starter,34.79
CHN_00000223,CUST_009597,2023-11-19,business_closure,403,starter,55.1
CHN_00000224,CUST_006675,2024-04-30,technical_issues,33,starter,28.39
CHN_00000225,CUST_000625,2023-10-12,poor_support,159,enterprise,1348.39
CHN_00000226,CUST_005629,2024-01-15,poor_performance,689,starter,29.78
CHN_00000227,CUST_007127,2023-03-26,business_closure,276,professional,114.75
CHN_00000228,CUST_001923,2024-02-20,pricing_too_high,375,professional,79.55
CHN_00000229,CUST_005032,2023-10-13,technical_issues,465,starter,39.71
CHN_00000230,CUST_001358,2024-06-23,pricing_too_high,143,starter,32.18
CHN_00000231,CUST_004966,2023-05-30,integration_problems,239,starter,116.14
CHN_00000232,CUST_003354,2023-08-29,missing_features,560,professional,401.0
CHN_00000233,CUST_007650,2023-09-14,poor_performance,226,professional,184.18
CHN_00000234,CUST_007231,2024-03-12,ease_of_use,432,premium,4819.15
CHN_00000235,CUST_007638,2023-10-10,pricing_too_high,397,starter,33.12
CHN_00000236,CUST_009986,2023-07-25,competitor_switch,222,professional,107.54
CHN_00000237,CUST_003669,2023-11-21,poor_support,414,starter,34.68
CHN_00000238,CUST_005811,2024-01-12,missing_features,599,starter,42.92
CHN_00000239,CUST_003788,2023-09-13,competitor_switch,494,starter,32.77
CHN_00000240,CUST_000913,2023-08-12,poor_support,206,professional,208.38
CHN_00000241,CUST_004106,2022-09-12,integration_problems,241,professional,97.74
CHN_00000242,CUST_004410,2024-04-06,pricing_too_high,449,professional,182.35
CHN_00000243,CUST_006952,2024-06-21,poor_performance,31,enterprise,711.73
CHN_00000244,CUST_006869,2023-06-26,competitor_switch,401,enterprise,1180.65
CHN_00000245,CUST_009996,2024-04-21,missing_features,41,enterprise,663.3
CHN_00000246,CUST_008919,2023-10-11,missing_features,425,starter,32.02
CHN_00000247,CUST_000615,2023-12-19,missing_features,198,enterprise,1938.71
CHN_00000248,CUST_009905,2024-05-25,competitor_switch,101,professional,198.82
CHN_00000249,CUST_009625,2023-08-12,ease_of_use,367,enterprise,2229.51
CHN_00000250,CUST_009190,2023-09-22,poor_performance,497,professional,197.9
CHN_00000251,CUST_008643,2024-01-03,poor_performance,293,starter,32.21
CHN_00000252,CUST_005824,2023-07-09,business_closure,551,starter,25.39
CHN_00000253,CUST_006176,2023-07-14,pricing_too_high,323,enterprise,657.67
CHN_00000254,CUST_008890,2024-06-09,business_closure,120,professional,112.59
CHN_00000255,CUST_009884,2023-02-28,missing_features,393,starter,25.45
CHN_00000256,CUST_001649,2023-08-17,missing_features,255,starter,41.71
CHN_00000257,CUST_009648,2024-02-07,missing_features,253,professional,658.3
CHN_00000258,CUST_001312,2024-01-09,missing_features,254,enterprise,276.08
CHN_00000259,CUST_005039,2024-06-11,technical_issues,865,starter,33.38
CHN_00000260,CUST_007313,2023-08-08,ease_of_use,242,starter,28.37
CHN_00000261,CUST_000097,2024-01-12,competitor_switch,186,enterprise,1317.93
CHN_00000262,CUST_008158,2023-12-10,competitor_switch,167,starter,33.82
CHN_00000263,CUST_008964,2024-04-13,pricing_too_high,282,starter,28.01
CHN_00000264,CUST_005674,2024-03-15,poor_support,251,starter,91.9
CHN_00000265,CUST_005943,2024-08-25,poor_performance,446,starter,51.56
CHN_00000266,CUST_003428,2024-09-02,pricing_too_high,309,starter,33.95
CHN_00000267,CUST_003029,2024-07-05,pricing_too_high,460,starter,27.48
CHN_00000268,CUST_001651,2024-07-31,pricing_too_high,308,premium,694.87
CHN_00000269,CUST_002461,2024-07-30,pricing_too_high,288,premium,5577.55
CHN_00000270,CUST_004451,2024-07-20,missing_features,300,enterprise,358.1
CHN_00000271,CUST_007877,2024-08-03,poor_support,482,starter,28.7
CHN_00000272,CUST_004946,2024-08-14,competitor_switch,650,starter,56.2
CHN_00000273,CUST_003476,2024-08-18,poor_performance,244,professional,188.53
CHN_00000274,CUST_004009,2024-07-05,poor_performance,241,professional,90.09
CHN_00000275,CUST_002256,2024-08-29,poor_performance,270,starter,32.15
CHN_00000276,CUST_000548,2024-07-21,missing_features,846,starter,30.7
CHN_00000277,CUST_008637,2024-08-16,poor_performance,162,professional,179.87
CHN_00000278,CUST_001160,2024-08-19,pricing_too_high,522,starter,29.28
CHN_00000279,CUST_006689,2024-09-01,missing_features,404,premium,2318.47
CHN_00000280,CUST_004308,2024-09-12,poor_performance,925,enterprise,263.63
CHN_00000281,CUST_000115,2024-09-05,pricing_too_high,600,enterprise,1034.86
CHN_00000282,CUST_003340,2024-07-20,pricing_too_high,774,professional,187.7
CHN_00000283,CUST_003315,2024-07-13,pricing_too_high,741,professional,217.57
CHN_00000284,CUST_001854,2024-09-01,poor_performance,519,starter,53.86
CHN_00000285,CUST_009450,2024-09-04,poor_performance,608,starter,27.57
CHN_00000286,CUST_002433,2024-08-20,pricing_too_high,410,professional,87.88
CHN_00000287,CUST_000960,2024-07-28,pricing_too_high,615,starter,24.44
CHN_00000288,CUST_006047,2024-07-17,pricing_too_high,310,professional,117.1
CHN_00000289,CUST_008914,2024-07-30,technical_issues,511,starter,33.5
CHN_00000290,CUST_008564,2024-08-24,pricing_too_high,910,starter,32.93
CHN_00000291,CUST_004715,2024-09-05,pricing_too_high,494,professional,89.2
CHN_00000292,CUST_000874,2024-08-29,missing_features,401,starter,24.76
CHN_00000293,CUST_002685,2024-08-31,pricing_too_high,654,starter,48.75
CHN_00000294,CUST_006546,2024-09-11,poor_performance,552,starter,32.77
CHN_00000295,CUST_002917,2024-07-06,pricing_too_high,607,professional,448.98
CHN_00000296,CUST_008808,2024-09-24,ease_of_use,219,professional,229.31
CHN_00000297,CUST_005169,2024-08-03,ease_of_use,120,starter,26.02
CHN_00000298,CUST_004270,2024-07-18,missing_features,692,professional,83.38
CHN_00000299,CUST_001287,2024-09-30,competitor_switch,934,starter,26.18
CHN_00000300,CUST_003881,2024-07-05,poor_performance,761,starter,40.74
CHN_00000301,CUST_000167,2024-07-28,technical_issues,509,starter,31.06
CHN_00000302,CUST_005588,2024-07-08,poor_performance,588,professional,439.94
CHN_00000303,CUST_006208,2024-07-16,pricing_too_high,253,starter,32.47
CHN_00000304,CUST_005768,2024-09-06,pricing_too_high,380,professional,79.55
CHN_00000305,CUST_007785,2024-08-04,pricing_too_high,754,starter,26.7
CHN_00000306,CUST_002006,2024-07-12,poor_performance,54,starter,33.97
CHN_00000307,CUST_001679,2024-07-29,pricing_too_high,361,professional,217.78
CHN_00000308,CUST_004236,2024-07-07,missing_features,423,starter,32.72
CHN_00000309,CUST_003262,2024-07-29,poor_performance,739,starter,44.1
CHN_00000310,CUST_006179,2024-09-02,poor_support,860,enterprise,960.55
CHN_00000311,CUST_002690,2024-07-23,poor_performance,534,professional,398.15
CHN_00000312,CUST_006701,2024-08-04,missing_features,317,enterprise,2847.74
CHN_00000313,CUST_002521,2024-08-10,poor_performance,271,professional,226.22
CHN_00000314,CUST_001335,2024-08-04,poor_support,682,professional,231.7
CHN_00000315,CUST_002396,2024-09-28,pricing_too_high,656,enterprise,287.7
CHN_00000316,CUST_003801,2024-07-05,pricing_too_high,373,starter,50.95
CHN_00000317,CUST_001413,2024-09-15,competitor_switch,761,professional,88.04
CHN_00000318,CUST_005526,2024-08-03,competitor_switch,668,starter,25.49
CHN_00000319,CUST_008754,2024-09-08,poor_performance,747,professional,197.54
CHN_00000320,CUST_004021,2024-07-04,poor_performance,731,professional,642.44
CHN_00000321,CUST_009990,2024-09-02,pricing_too_high,231,starter,29.92
CHN_00000322,CUST_004685,2024-09-23,pricing_too_high,299,professional,218.69
CHN_00000323,CUST_003117,2024-09-11,poor_support,982,starter,48.54
CHN_00000324,CUST_009480,2024-08-13,pricing_too_high,254,professional,112.58
CHN_00000325,CUST_000127,2024-07-13,missing_features,583,professional,420.88
CHN_00000326,CUST_001823,2024-07-06,competitor_switch,507,starter,48.03
CHN_00000327,CUST_004412,2024-09-24,pricing_too_high,374,starter,32.57
CHN_00000328,CUST_001052,2024-07-22,pricing_too_high,427,professional,106.31
CHN_00000329,CUST_009619,2024-10-01,pricing_too_high,346,starter,56.72
CHN_00000330,CUST_001497,2024-08-08,missing_features,451,professional,229.85
CHN_00000331,CUST_001352,2024-08-26,pricing_too_high,918,starter,33.88
CHN_00000332,CUST_006461,2024-07-14,pricing_too_high,339,professional,457.98
CHN_00000333,CUST_009933,2024-08-27,pricing_too_high,445,enterprise,525.79
CHN_00000334,CUST_009814,2024-07-09,pricing_too_high,610,professional,105.69
CHN_00000335,CUST_004042,2024-08-03,pricing_too_high,489,starter,30.12
CHN_00000336,CUST_004310,2024-08-17,pricing_too_high,280,starter,25.93
CHN_00000337,CUST_006540,2024-07-31,pricing_too_high,767,premium,2250.01
CHN_00000338,CUST_003865,2024-09-10,competitor_switch,695,professional,405.63
CHN_00000339,CUST_006415,2024-09-21,pricing_too_high,220,starter,25.46
CHN_00000340,CUST_003155,2024-09-08,missing_features,898,enterprise,672.72
CHN_00000341,CUST_006259,2024-09-10,poor_performance,863,premium,567.05
CHN_00000342,CUST_006159,2024-09-27,poor_support,254,starter,25.16
CHN_00000343,CUST_000573,2024-09-23,pricing_too_high,145,professional,111.24
CHN_00000344,CUST_000869,2024-08-09,pricing_too_high,644,starter,25.33
CHN_00000345,CUST_006343,2024-08-25,business_closure,308,premium,1221.77
CHN_00000346,CUST_001632,2024-08-28,competitor_switch,424,starter,24.78
CHN_00000347,CUST_003572,2024-07-30,pricing_too_high,104,starter,54.56
CHN_00000348,CUST_006379,2024-09-12,pricing_too_high,142,professional,86.9
CHN_00000349,CUST_002086,2024-09-01,business_closure,108,premium,591.52
CHN_00000350,CUST_001650,2024-08-25,pricing_too_high,296,professional,83.16
CHN_00000351,CUST_000904,2024-07-02,business_closure,163,starter,42.52
CHN_00000352,CUST_008387,2024-10-01,technical_issues,660,enterprise,609.38
CHN_00000353,CUST_005007,2024-08-22,pricing_too_high,440,professional,321.79
CHN_00000354,CUST_005141,2024-07-09,competitor_switch,756,starter,27.74
CHN_00000355,CUST_001852,2024-08-30,poor_performance,304,professional,107.33
CHN_00000356,CUST_008557,2024-09-04,competitor_switch,110,enterprise,270.25
CHN_00000357,CUST_003335,2024-07-07,poor_performance,78,starter,32.96
CHN_00000358,CUST_009033,2024-09-15,pricing_too_high,389,enterprise,510.19
CHN_00000359,CUST_002458,2024-09-18,competitor_switch,522,enterprise,259.68
CHN_00000360,CUST_008480,2024-07-29,pricing_too_high,596,premium,2728.6
CHN_00000361,CUST_006505,2024-09-15,poor_support,136,starter,28.75
CHN_00000362,CUST_002689,2024-07-01,poor_performance,38,professional,199.53
CHN_00000363,CUST_002576,2024-07-18,pricing_too_high,620,starter,26.73
CHN_00000364,CUST_004427,2024-07-29,pricing_too_high,618,professional,106.65
CHN_00000365,CUST_009834,2024-07-19,business_closure,707,starter,23.8
CHN_00000366,CUST_007496,2024-09-16,pricing_too_high,680,professional,379.36
CHN_00000367,CUST_004692,2024-09-23,business_closure,495,professional,205.26
CHN_00000368,CUST_009502,2024-10-01,pricing_too_high,607,starter,23.63
